service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8,1,1,1,1,1,1,1,20170903,20171202
965,1,1,1,1,1,1,0,20170904,20171029
70,1,1,1,1,1,1,0,20170904,20171202
218,1,1,1,1,1,0,0,20170904,20171201
970,0,0,0,0,0,0,1,20170903,20171101
69,1,1,1,1,1,0,0,20170904,20171201
39,0,0,0,0,0,1,0,20170909,20171202
964,1,1,1,1,1,1,0,20170904,20171202
90,1,1,1,1,1,0,1,20170903,20171201
967,0,0,0,0,0,1,1,20171104,20171202
968,1,1,1,1,1,1,0,20170904,20171202
966,1,1,1,1,1,0,0,20170904,20171202
105,0,0,0,0,0,1,1,20170903,20171029
969,0,0,0,0,0,1,1,20170903,20171202
56,0,0,0,0,0,1,1,20170903,20171202
220,0,0,0,0,0,1,1,20170903,20171202
2478,1,1,1,1,1,1,0,20170904,20171202
2477,1,1,1,1,1,0,0,20170904,20171201
203,1,1,1,1,1,0,0,20170904,20171201
2619,1,1,1,1,1,1,1,20170903,20171202
2620,1,1,1,1,1,1,1,20170903,20171202
2613,0,0,0,0,0,1,1,20170903,20171202
2590,0,0,0,0,0,1,0,20170909,20171202
3328,0,1,1,1,1,1,0,20170905,20171202
9733,0,0,0,0,0,0,1,20170903,20170910
6380,1,1,1,1,1,0,0,20170904,20171201
357,1,1,1,1,1,1,1,20170903,20171202
11264,1,1,1,1,1,0,0,20170925,20171013
11265,0,0,1,0,1,0,0,20170927,20171013
8739,1,1,1,1,1,1,0,20170904,20171202
12811,1,1,1,1,1,1,0,20170904,20171008
8956,1,1,1,1,1,0,0,20171002,20171029
8955,1,1,1,1,1,0,0,20171113,20171119
7911,1,0,0,0,0,0,0,20171016,20171127
7001,1,0,0,0,0,0,0,20170904,20171009
17432,1,1,1,1,1,0,0,20170904,20171201
8826,1,1,1,1,1,0,0,20170904,20171201
17433,0,0,0,0,0,1,0,20170909,20171007
8831,0,0,0,0,0,1,0,20171014,20171202
2202,0,0,0,0,0,0,1,20170903,20171126
8825,0,1,1,1,1,0,0,20171017,20171201
3668,0,1,1,1,1,0,0,20170905,20171013
3338,0,0,0,0,0,0,1,20171030,20171126
2321,0,0,0,0,0,0,1,20170903,20171008
17434,0,0,0,0,0,1,0,20170909,20171014
8698,0,0,0,0,0,1,0,20171021,20171202
17435,0,0,0,0,0,1,0,20170909,20171007
3561,0,0,0,0,1,0,0,20170908,20171013
3352,0,0,0,0,1,0,0,20171020,20171201
8821,1,0,0,0,0,0,0,20170904,20171127
8851,0,0,0,0,0,1,0,20170930,20171022
