route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCEDB-80194035-87213470,8,OCEDB018823F030015462,"18823",1,,
OCEDB-80194035-87213470,8,OCEDB018809F030015451,"18809",1,,
OCEDB-80194035-87213470,8,OCEDB018807F030015449,"18807",1,,
OCEDB-80194035-87213470,965,OCEDB018827F030015466,"18827",1,,
OCEDB-80194035-87213470,8,OCEDB018835F030015472,"18835",1,,
OCEDB-80194035-87213470,70,OCEDB018841F020015476,"18841",1,,
OCEDB-80194035-87213470,218,OCEDB018805F040015448,"18805",1,,
OCEDB-80194035-87213470,965,OCEDB018817F010015458,"18817",1,,
OCEDB-80194035-87213470,965,OCEDB018815F030015456,"18815",1,,
OCEDB-80194035-87213470,8,OCEDB018819F030015459,"18819",1,,
OCEDB-80194035-87213470,970,OCEDB018899F020015528,"18899",1,,
OCEDB-80194035-87213470,970,OCEDB018893F030015522,"18893",1,,
OCEDB-80194035-87213470,965,OCEDB018831F030015469,"18831",1,,
OCEDB-80194035-87213470,69,OCEDB018811F030015453,"18811",1,,
OCEDB-80194035-87213470,8,OCEDB018837F030015474,"18837",1,,
OCEDB-80194035-87213470,970,OCEDB018897F020015526,"18897",1,,
OCEDB-80194035-87213470,970,OCEDB018895F010015524,"18895",1,,
OCEDB-80194035-87213470,8,OCEDB018825F030015464,"18825",1,,
OCEDB-80194035-87213470,69,OCEDB018836F030015473,"18836",0,,
OCEDB-80194035-87213470,965,OCEDB018832F030015470,"18832",0,,
OCEDB-80194035-87213470,970,OCEDB018896F010015525,"18896",0,,
OCEDB-80194035-87213470,970,OCEDB018892F010015521,"18892",0,,
OCEDB-80194035-87213470,8,OCEDB018830F030015468,"18830",0,,
OCEDB-80194035-87213470,970,OCEDB018898F020015527,"18898",0,,
OCEDB-80194035-87213470,970,OCEDB018894F010015523,"18894",0,,
OCEDB-80194035-87213470,965,OCEDB018834F030015471,"18834",0,,
OCEDB-80194035-87213470,218,OCEDB018800F030015442,"18800",0,,
OCEDB-80194035-87213470,965,OCEDB018816F030025457,"18816",0,,
OCEDB-80194035-87213470,8,OCEDB018840F030015475,"18840",0,,
OCEDB-80194035-87213470,8,OCEDB018814F030015455,"18814",0,,
OCEDB-80194035-87213470,8,OCEDB018812F030015454,"18812",0,,
OCEDB-80194035-87213470,39,OCEDB018810F030015452,"18810",0,,
OCEDB-80194035-87213470,8,OCEDB018824F030015463,"18824",0,,
OCEDB-80194035-87213470,965,OCEDB018820F030035460,"18820",0,,
OCEDB-80194035-87213470,964,OCEDB018804F030015446,"18804",0,,
OCEDB-80194035-87213470,8,OCEDB018828F030015467,"18828",0,,
OCEDB-80194035-87213470,218,OCEDB018802F030015444,"18802",0,,
OCEDB-80194035-87213470,90,OCEDB018842F030015477,"18842",0,,
OCEDB-80194035-87213470,90,OCEDB018808F030015450,"18808",0,,
OCEDB-80194324-87213470,218,OCEDB018803F010015445,"18803",1,,
OCEDB-80194324-87213470,39,OCEDB018805F020015447,"18805",1,,
OCEDB-80194324-87213470,218,OCEDB018801F010015443,"18801",1,,
OCEDB-87212464-80191031,218,OCEDB018851F010015480,"18851",1,,
OCEDB-87212464-80191031,69,OCEDB018871F010015500,"18871",1,,
OCEDB-87212464-80191031,967,OCEDB018869F010015498,"18869",1,,
OCEDB-87212464-80191031,8,OCEDB018883F010015512,"18883",1,,
OCEDB-87212464-80191031,968,OCEDB018885F010015514,"18885",1,,
OCEDB-87212464-80191031,8,OCEDB018877F010015506,"18877",1,,
OCEDB-87212464-80191031,8,OCEDB018881F010015510,"18881",1,,
OCEDB-87212464-80191031,966,OCEDB018879F010015508,"18879",1,,
OCEDB-87212464-80191031,218,OCEDB018873F020015502,"18873",1,,
OCEDB-87212464-80191031,8,OCEDB018889F010015518,"18889",1,,
OCEDB-87212464-80191031,8,OCEDB018887F010015516,"18887",1,,
OCEDB-87212464-80191031,8,OCEDB018875F010015504,"18875",1,,
OCEDB-87212464-80191031,105,OCEDB018821F020015461,"18821",1,,
OCEDB-87212464-80191031,39,OCEDB018859F010015488,"18859",1,,
OCEDB-87212464-80191031,969,OCEDB018891F010015520,"18891",1,,
OCEDB-87212464-80191031,218,OCEDB018857F010015486,"18857",1,,
OCEDB-87212464-80191031,8,OCEDB018861F010015490,"18861",1,,
OCEDB-87212464-80191031,966,OCEDB018863F010015492,"18863",1,,
OCEDB-87212464-80191031,966,OCEDB018865F010015494,"18865",1,,
OCEDB-87212464-80191031,218,OCEDB018855F010015484,"18855",1,,
OCEDB-87212464-80191031,218,OCEDB018853F010015482,"18853",1,,
OCEDB-87212464-80191031,8,OCEDB018867F010015496,"18867",1,,
