service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2303,0,0,0,0,1,0,0,20170908,20171013
2301,0,0,0,0,1,1,1,20171023,20171202
2305,0,0,0,0,0,0,1,20170903,20171126
2307,0,0,0,0,1,0,0,20171023,20171201
2304,0,0,0,0,0,1,0,20171113,20171202
8667,1,1,1,1,0,0,0,20170904,20171008
8668,0,0,0,0,1,0,0,20170908,20171008
2316,0,0,0,0,1,0,0,20171013,20171117
2320,0,0,0,0,0,0,1,20171015,20171022
8678,0,0,0,0,0,0,1,20170903,20171008
2319,0,0,0,0,0,0,1,20170903,20171008
8677,1,1,1,1,1,0,1,20170903,20171008
8626,0,0,0,0,0,1,1,20171125,20171202
8666,0,0,0,0,0,1,1,20171014,20171105
98,0,0,0,0,1,0,0,20171124,20171201
8672,1,1,1,1,1,0,0,20170904,20171008
8671,1,1,1,1,1,1,1,20171009,20171022
2314,0,0,0,0,0,1,0,20170909,20171008
8665,0,0,0,0,0,1,1,20170903,20171008
2313,0,0,0,0,0,1,0,20171014,20171104
8646,1,1,1,1,1,0,1,20171009,20171022
2309,1,1,1,1,1,0,0,20171120,20171201
2321,0,0,0,0,0,0,1,20170903,20171008
2308,1,1,1,1,1,0,0,20170904,20170929
8670,1,1,1,1,1,1,0,20171009,20171117
8635,1,1,1,1,1,1,0,20171120,20171202
8673,1,1,1,1,1,1,1,20170904,20171001
8669,1,1,1,1,1,1,0,20170904,20171010
108,0,0,0,0,1,0,0,20170908,20171201
2312,1,1,1,1,1,0,0,20171009,20171117
2311,1,1,1,1,1,0,0,20171002,20171006
8664,1,1,1,1,1,0,0,20170904,20171201
8640,1,1,1,1,1,0,0,20171102,20171117
2324,1,1,1,1,1,0,0,20171102,20171117
2318,0,0,0,0,0,0,1,20171015,20171022
8676,1,1,1,1,1,0,0,20171002,20171026
8625,1,1,1,1,1,0,0,20170918,20170926
2339,1,1,1,1,0,0,1,20171009,20171026
2326,1,1,1,1,1,0,0,20170904,20170929
2334,1,1,1,1,1,0,0,20171016,20171027
444,0,0,0,1,1,0,0,20171102,20171103
2354,0,0,0,0,1,0,0,20170908,20171027
2315,0,0,0,0,0,1,0,20170909,20170930
2331,1,1,1,1,1,1,0,20171120,20171202
2357,1,1,1,1,0,0,0,20171102,20171130
2356,0,0,0,0,1,0,0,20171103,20171124
2323,1,1,1,1,1,0,0,20171009,20171027
2328,0,0,0,0,0,0,1,20171001,20171008
2327,1,1,1,1,1,1,0,20171002,20171007
2330,1,1,1,1,1,0,0,20171102,20171117
857,0,0,0,0,0,0,1,20170903,20170924
2329,0,0,0,0,0,1,0,20171014,20171028
2335,1,1,1,1,1,1,1,20170903,20171022
2346,0,0,0,0,0,1,0,20170909,20171202
2341,0,0,0,0,1,0,0,20171013,20171027
2342,1,1,1,1,0,0,1,20170903,20171008
2340,0,0,0,0,1,0,0,20170908,20170929
2344,1,1,1,1,1,0,0,20171102,20171117
2345,1,1,1,1,1,0,1,20171120,20171130
2343,1,1,1,1,0,0,0,20171002,20171005
2353,1,1,1,1,0,1,1,20170903,20171026
2348,0,0,0,0,0,0,1,20170910,20171008
8647,0,0,0,0,0,1,0,20170903,20171008
2764,0,0,0,0,0,0,1,20170910,20171008
8650,1,1,1,1,1,1,0,20170904,20170917
8651,1,1,1,1,1,1,0,20171009,20171028
8652,0,0,0,0,1,1,0,20171201,20171202
2428,0,0,0,0,1,0,0,20170908,20171006
8629,0,0,0,0,0,1,1,20170909,20171008
3572,1,1,1,1,0,0,0,20170904,20171005
8628,1,1,1,1,0,0,0,20171009,20171116
97,1,1,1,1,0,0,0,20171120,20171130
8620,1,1,1,1,0,1,0,20171009,20171028
8627,0,0,0,0,0,1,1,20171104,20171105
8633,1,1,1,1,0,1,1,20170904,20171008
8634,1,1,1,1,0,1,1,20171009,20171028
8630,0,0,0,0,0,1,1,20171014,20171028
8632,1,1,1,1,0,0,1,20171120,20171202
8631,1,1,1,1,0,0,0,20171102,20171116
8619,1,1,1,1,0,1,0,20171120,20171202
8654,1,1,1,1,1,1,0,20170918,20170925
8644,1,1,1,1,1,0,1,20170904,20171008
8617,1,1,1,1,0,1,0,20170904,20171007
8618,1,1,1,1,0,0,0,20171102,20171116
514,0,0,0,0,1,0,0,20171103,20171201
8653,1,1,1,1,1,1,0,20171120,20171130
8621,1,1,1,1,1,0,0,20170904,20171008
2332,1,1,1,1,1,0,1,20171009,20171027
8623,1,1,1,1,1,0,1,20170903,20171008
2322,0,0,0,0,1,0,0,20170908,20171124
8622,1,1,1,1,1,0,0,20171101,20171117
2351,1,1,1,1,1,1,1,20171009,20171117
2362,0,0,0,0,0,0,1,20170903,20171008
2333,1,1,1,1,1,1,1,20170903,20171001
2336,0,0,0,0,0,0,1,20171001,20171022
2359,1,1,1,1,0,1,0,20170904,20171202
2350,1,1,1,1,1,1,1,20170903,20171008
2363,0,0,0,0,0,1,0,20170909,20171007
8663,1,1,1,1,1,1,1,20170903,20171202
8637,1,1,1,1,1,1,0,20170904,20170930
8636,1,0,1,1,1,0,0,20171102,20171117
8639,0,0,0,0,0,1,0,20171007,20171010
8638,0,1,1,1,1,1,0,20171009,20171028
3868,1,1,1,1,1,0,0,20171002,20171027
8642,1,1,1,1,1,1,1,20170904,20171008
8624,1,1,1,1,1,0,0,20170904,20171027
8641,1,1,1,1,1,1,1,20171120,20171202
17432,1,1,1,1,1,0,0,20170911,20170915
17433,1,1,1,1,1,0,0,20171002,20171027
17434,1,1,1,1,1,0,0,20171106,20171124
8662,0,0,0,0,0,1,0,20170909,20171008
8661,1,1,1,1,0,0,0,20171127,20171130
715,0,0,0,0,0,0,1,20170910,20170924
8614,1,1,1,1,1,0,0,20170904,20171029
8643,1,1,1,1,1,1,1,20170903,20171022
8649,1,1,1,1,1,0,0,20170904,20171201
86,0,0,0,0,0,1,0,20171125,20171202
246,0,0,0,0,0,1,1,20170916,20170930
2371,0,0,0,0,0,0,1,20171001,20171015
2367,1,1,1,1,1,1,0,20170912,20171020
2372,1,1,1,1,1,1,0,20171021,20171031
2390,0,0,0,0,0,0,1,20170903,20170910
2365,1,1,1,1,1,0,0,20171023,20171031
1318,1,1,1,1,1,0,0,20170904,20170911
17435,0,0,0,0,0,1,1,20170903,20170910
2375,1,1,1,1,1,1,0,20170904,20170911
2364,1,1,1,1,1,0,0,20170912,20171020
2389,0,0,0,0,0,0,1,20170917,20171029
17436,1,1,1,1,1,0,0,20171023,20171031
2403,0,0,0,0,0,1,1,20170916,20171029
17437,1,1,1,1,1,0,0,20171002,20171020
17438,1,1,1,1,1,0,0,20170912,20170929
2402,0,0,0,0,0,1,1,20170903,20170910
17439,1,1,1,1,1,0,0,20170904,20170911
2370,0,0,0,0,0,0,1,20171022,20171029
476,0,0,0,0,0,1,1,20170903,20170910
2369,0,0,0,0,0,1,0,20171007,20171028
2392,0,0,0,0,0,1,0,20170916,20171014
1135,0,0,0,0,0,1,0,20171021,20171028
17440,0,0,0,0,0,1,1,20170916,20171029
2366,1,1,1,1,1,1,0,20171023,20171202
2393,1,1,1,1,1,0,0,20171106,20171117
