service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2303,0,0,0,0,1,0,0,2017/09/08,2017/10/13
2301,0,0,0,0,1,1,1,2017/10/23,2017/12/02
2305,0,0,0,0,0,0,1,2017/09/03,2017/11/26
2307,0,0,0,0,1,0,0,2017/10/23,2017/12/01
2304,0,0,0,0,0,1,0,2017/11/13,2017/12/02
8667,1,1,1,1,0,0,0,2017/09/04,2017/10/08
8668,0,0,0,0,1,0,0,2017/09/08,2017/10/08
2316,0,0,0,0,1,0,0,2017/10/13,2017/11/17
2320,0,0,0,0,0,0,1,2017/10/15,2017/10/22
8678,0,0,0,0,0,0,1,2017/09/03,2017/10/08
2319,0,0,0,0,0,0,1,2017/09/03,2017/10/08
8677,1,1,1,1,1,0,1,2017/09/03,2017/10/08
8626,0,0,0,0,0,1,1,2017/11/25,2017/12/02
8666,0,0,0,0,0,1,1,2017/10/14,2017/11/05
98,0,0,0,0,1,0,0,2017/11/24,2017/12/01
8672,1,1,1,1,1,0,0,2017/09/04,2017/10/08
8671,1,1,1,1,1,1,1,2017/10/09,2017/10/22
2314,0,0,0,0,0,1,0,2017/09/09,2017/10/08
8665,0,0,0,0,0,1,1,2017/09/03,2017/10/08
2313,0,0,0,0,0,1,0,2017/10/14,2017/11/04
8646,1,1,1,1,1,0,1,2017/10/09,2017/10/22
2309,1,1,1,1,1,0,0,2017/11/20,2017/12/01
2321,0,0,0,0,0,0,1,2017/09/03,2017/10/08
2308,1,1,1,1,1,0,0,2017/09/04,2017/09/29
8670,1,1,1,1,1,1,0,2017/10/09,2017/11/17
8635,1,1,1,1,1,1,0,2017/11/20,2017/12/02
8673,1,1,1,1,1,1,1,2017/09/04,2017/10/01
8669,1,1,1,1,1,1,0,2017/09/04,2017/10/10
108,0,0,0,0,1,0,0,2017/09/08,2017/12/01
2312,1,1,1,1,1,0,0,2017/10/09,2017/11/17
2311,1,1,1,1,1,0,0,2017/10/02,2017/10/06
8664,1,1,1,1,1,0,0,2017/09/04,2017/12/01
8640,1,1,1,1,1,0,0,2017/11/02,2017/11/17
2324,1,1,1,1,1,0,0,2017/11/02,2017/11/17
2318,0,0,0,0,0,0,1,2017/10/15,2017/10/22
8676,1,1,1,1,1,0,0,2017/10/02,2017/10/26
8625,1,1,1,1,1,0,0,2017/09/18,2017/09/26
2339,1,1,1,1,0,0,1,2017/10/09,2017/10/26
2326,1,1,1,1,1,0,0,2017/09/04,2017/09/29
2334,1,1,1,1,1,0,0,2017/10/16,2017/10/27
444,0,0,0,1,1,0,0,2017/11/02,2017/11/03
2354,0,0,0,0,1,0,0,2017/09/08,2017/10/27
2315,0,0,0,0,0,1,0,2017/09/09,2017/09/30
2331,1,1,1,1,1,1,0,2017/11/20,2017/12/02
2357,1,1,1,1,0,0,0,2017/11/02,2017/11/30
2356,0,0,0,0,1,0,0,2017/11/03,2017/11/24
2323,1,1,1,1,1,0,0,2017/10/09,2017/10/27
2328,0,0,0,0,0,0,1,2017/10/01,2017/10/08
2327,1,1,1,1,1,1,0,2017/10/02,2017/10/07
2330,1,1,1,1,1,0,0,2017/11/02,2017/11/17
857,0,0,0,0,0,0,1,2017/09/03,2017/09/24
2329,0,0,0,0,0,1,0,2017/10/14,2017/10/28
2335,1,1,1,1,1,1,1,2017/09/03,2017/10/22
2346,0,0,0,0,0,1,0,2017/09/09,2017/12/02
2341,0,0,0,0,1,0,0,2017/10/13,2017/10/27
2342,1,1,1,1,0,0,1,2017/09/03,2017/10/08
2340,0,0,0,0,1,0,0,2017/09/08,2017/09/29
2344,1,1,1,1,1,0,0,2017/11/02,2017/11/17
2345,1,1,1,1,1,0,1,2017/11/20,2017/11/30
2343,1,1,1,1,0,0,0,2017/10/02,2017/10/05
2353,1,1,1,1,0,1,1,2017/09/03,2017/10/26
2348,0,0,0,0,0,0,1,2017/09/10,2017/10/08
8647,0,0,0,0,0,1,0,2017/09/03,2017/10/08
2764,0,0,0,0,0,0,1,2017/09/10,2017/10/08
8650,1,1,1,1,1,1,0,2017/09/04,2017/09/17
8651,1,1,1,1,1,1,0,2017/10/09,2017/10/28
8652,0,0,0,0,1,1,0,2017/12/01,2017/12/02
2428,0,0,0,0,1,0,0,2017/09/08,2017/10/06
8629,0,0,0,0,0,1,1,2017/09/09,2017/10/08
3572,1,1,1,1,0,0,0,2017/09/04,2017/10/05
8628,1,1,1,1,0,0,0,2017/10/09,2017/11/16
97,1,1,1,1,0,0,0,2017/11/20,2017/11/30
8620,1,1,1,1,0,1,0,2017/10/09,2017/10/28
8627,0,0,0,0,0,1,1,2017/11/04,2017/11/05
8633,1,1,1,1,0,1,1,2017/09/04,2017/10/08
8634,1,1,1,1,0,1,1,2017/10/09,2017/10/28
8630,0,0,0,0,0,1,1,2017/10/14,2017/10/28
8632,1,1,1,1,0,0,1,2017/11/20,2017/12/02
8631,1,1,1,1,0,0,0,2017/11/02,2017/11/16
8619,1,1,1,1,0,1,0,2017/11/20,2017/12/02
8654,1,1,1,1,1,1,0,2017/09/18,2017/09/25
8644,1,1,1,1,1,0,1,2017/09/04,2017/10/08
8617,1,1,1,1,0,1,0,2017/09/04,2017/10/07
8618,1,1,1,1,0,0,0,2017/11/02,2017/11/16
514,0,0,0,0,1,0,0,2017/11/03,2017/12/01
8653,1,1,1,1,1,1,0,2017/11/20,2017/11/30
8621,1,1,1,1,1,0,0,2017/09/04,2017/10/08
2332,1,1,1,1,1,0,1,2017/10/09,2017/10/27
8623,1,1,1,1,1,0,1,2017/09/03,2017/10/08
2322,0,0,0,0,1,0,0,2017/09/08,2017/11/24
8622,1,1,1,1,1,0,0,2017/11/01,2017/11/17
2351,1,1,1,1,1,1,1,2017/10/09,2017/11/17
2362,0,0,0,0,0,0,1,2017/09/03,2017/10/08
2333,1,1,1,1,1,1,1,2017/09/03,2017/10/01
2336,0,0,0,0,0,0,1,2017/10/01,2017/10/22
2359,1,1,1,1,0,1,0,2017/09/04,2017/12/02
2350,1,1,1,1,1,1,1,2017/09/03,2017/10/08
2363,0,0,0,0,0,1,0,2017/09/09,2017/10/07
8663,1,1,1,1,1,1,1,2017/09/03,2017/12/02
8637,1,1,1,1,1,1,0,2017/09/04,2017/09/30
8636,1,0,1,1,1,0,0,2017/11/02,2017/11/17
8639,0,0,0,0,0,1,0,2017/10/07,2017/10/10
8638,0,1,1,1,1,1,0,2017/10/09,2017/10/28
3868,1,1,1,1,1,0,0,2017/10/02,2017/10/27
8642,1,1,1,1,1,1,1,2017/09/04,2017/10/08
8624,1,1,1,1,1,0,0,2017/09/04,2017/10/27
8641,1,1,1,1,1,1,1,2017/11/20,2017/12/02
17432,1,1,1,1,1,0,0,2017/09/11,2017/09/15
17433,1,1,1,1,1,0,0,2017/10/02,2017/10/27
17434,1,1,1,1,1,0,0,2017/11/06,2017/11/24
8662,0,0,0,0,0,1,0,2017/09/09,2017/10/08
8661,1,1,1,1,0,0,0,2017/11/27,2017/11/30
715,0,0,0,0,0,0,1,2017/09/10,2017/09/24
8614,1,1,1,1,1,0,0,2017/09/04,2017/10/29
