service_id,date,exception_type
2303,2017/09/16,1
2303,2017/09/17,1
2303,2017/09/09,1
2303,2017/09/10,1
2301,2017/10/20,1
2301,2017/09/03,1
2301,2017/11/01,1
2305,2017/11/11,1
2305,2017/11/01,1
2307,2017/09/08,1
2307,2017/09/15,1
2304,2017/09/09,1
2304,2017/09/16,1
2304,2017/10/28,1
2304,2017/11/04,1
682,2017/11/26,1
8667,2017/11/20,1
8667,2017/11/21,1
8667,2017/11/22,1
8667,2017/11/23,1
8667,2017/11/27,1
8667,2017/11/28,1
8667,2017/11/29,1
8667,2017/11/30,1
8668,2017/11/03,1
8668,2017/10/09,1
8668,2017/10/10,1
8668,2017/10/11,1
8668,2017/10/12,1
8668,2017/10/13,1
8668,2017/10/16,1
8668,2017/10/17,1
8668,2017/10/18,1
8668,2017/10/19,1
8668,2017/10/20,1
8668,2017/10/23,1
8668,2017/10/24,1
8668,2017/10/25,1
8668,2017/10/26,1
8668,2017/10/27,1
8668,2017/11/06,1
8668,2017/11/07,1
8668,2017/11/08,1
8668,2017/11/09,1
8668,2017/11/10,1
8668,2017/11/13,1
8668,2017/11/14,1
8668,2017/11/15,1
8668,2017/11/16,1
8668,2017/11/17,1
2317,2017/09/15,1
2317,2017/09/22,1
2317,2017/09/29,1
2317,2017/10/06,1
2317,2017/09/08,1
2317,2017/11/24,1
2320,2017/11/05,1
2319,2017/11/26,1
8677,2017/11/20,1
8677,2017/11/21,1
8677,2017/11/22,1
8677,2017/11/23,1
8677,2017/11/24,1
8677,2017/11/26,1
8677,2017/11/27,1
8677,2017/11/28,1
8677,2017/11/29,1
8677,2017/11/30,1
8677,2017/12/01,1
8666,2017/10/29,2
8672,2017/11/20,1
8672,2017/11/21,1
8672,2017/11/22,1
8672,2017/11/23,1
8672,2017/11/24,1
8672,2017/11/27,1
8672,2017/11/28,1
8672,2017/11/29,1
8672,2017/11/30,1
8672,2017/12/01,1
8671,2017/10/23,1
8671,2017/10/24,1
8671,2017/10/25,1
8671,2017/10/26,1
8671,2017/10/27,1
8671,2017/11/02,1
8671,2017/11/03,1
8671,2017/11/06,1
8671,2017/11/07,1
8671,2017/11/08,1
8671,2017/11/09,1
8671,2017/11/10,1
8671,2017/11/13,1
8671,2017/11/14,1
8671,2017/11/15,1
8671,2017/11/16,1
8671,2017/11/17,1
8671,2017/10/30,2
8671,2017/10/31,2
8671,2017/11/01,2
2314,2017/11/25,1
2314,2017/12/02,1
8646,2017/11/02,1
8646,2017/11/03,1
8646,2017/11/05,1
8646,2017/10/23,1
8646,2017/10/24,1
8646,2017/10/25,1
8646,2017/10/26,1
8646,2017/10/27,1
8646,2017/11/06,1
8646,2017/11/07,1
8646,2017/11/08,1
