route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE705694,OCESN,"","IC Eco Paris-Strasbourg",,2,,,
OCESN-87113001-87118000,OCESN,"","Paris-Est - Troyes",,2,,,
OCE28625,OCESN,"","Paris-Troyes-Belfort",,2,,,
OCE645642,OCESN,"","Paris-Boulogne",,2,,,
OCESN-87116137-87116160,OCESN,"","Longueville (S.-et-M.) - Provins",,3,,,
OCE645647,OCESN,"","Paris-Maubeuge/Cambrai",,2,,,
OCESN-87116301-87430819,OCESN,"","Coulommiers - La-Ferté-Gaucher-Centre",,3,,,
OCESN-87581009-87324061,OCESN,"","Bordeaux-St-Jean - Lacanau-Océan",,3,,,
OCE20620,OCESN,"","Paris-Rouen-Le Havre",,2,,,
OCESN-87413013-87384008,OCESN,"","Le Havre - Paris-St-Lazare",,2,,,
OCESN-87381897-87386680,OCESN,"","Conflans-Ste-Honorine - Les Mureaux",,3,,,
OCESN-87386680-87381509,OCESN,"","Les Mureaux - Mantes-la-Jolie",,3,,,
OCE20624,OCESN,"","Paris-Caen-Cherbourg/Trouville",,2,,,
OCESN-87381509-87386573,OCESN,"","Mantes-la-Jolie - Poissy",,2,,,
OCE20621,OCESN,"","Paris-Granville",,2,,,
OCESN-87381509-87415604,OCESN,"","Mantes-la-Jolie - Vernon-Giverny",,2,,,
OCE16628,OCESN,"","Paris-Limoges-Toulouse",,2,,,
OCESN-87594002-87547000,OCESN,"","Brive-la-Gaillarde - Paris-Austerlitz",,2,,,
OCESN-87547000-87611004,OCESN,"","Paris-Austerlitz - Toulouse-Matabiau",,2,,,
OCE16623,OCESN,"","IC Eco Paris-Toulouse",,2,,,
OCE645676,OCESN,"","Paris-Latour de Carol/Cerbère (Port-Bou)",,2,,,
OCESN-87785006-87547000,OCESN,"","Cerbère - Paris-Austerlitz",,2,,,
OCESN-87547000-71793150,OCESN,"","Paris-Austerlitz - Port-Bou",,2,,,
OCE645675,OCESN,"","Paris-Toulouse/Rodez/Albi",,2,,,
OCESN-87547000-87613422,OCESN,"","Paris-Austerlitz - Rodez",,2,,,
OCE24619,OCESN,"","Nantes-Bordeaux",,2,,,
OCE16622,OCESN,"","Paris-Bourges-Montluçon",,2,,,
OCESN-87641001-87547000,OCESN,"","Montluçon-Ville - Paris-Austerlitz",,2,,,
OCESN-87576207-87547000,OCESN,"","Bourges - Paris-Austerlitz",,2,,,
OCE677596,OCESN,"","IC Eco Paris-Bordeaux",,2,,,
OCESN-87481002-87547000,OCESN,"","Nantes - Paris-Austerlitz",,2,,,
OCE645669,OCESN,"","Nantes-Tours-Lyon",,2,,,
OCESN-87581009-87592006,OCESN,"","Bordeaux-St-Jean - Limoges-Bénédictins",,2,,,
OCESN-87581009-87594093,OCESN,"","Bordeaux-St-Jean - Ussel",,2,,,
OCE645668,OCESN,"","Bordeaux-Lyon via Limoges",,2,,,
OCE28628,OCESN,"","Bordeaux-Marseille-Nice",,2,,,
OCESN-87681007-87682005,OCESN,"","Corbeil-Essonnes - Melun",,3,,,
OCESN-87681007-87681635,OCESN,"","Corbeil-Essonnes - Coudray-Montceaux",,3,,,
OCESN-87681007-87681452,OCESN,"","Corbeil-Essonnes - La Ferté-Alais",,3,,,
OCE645667,OCESN,"","Bordeaux-Lyon via Clermont Fd",,2,,,
OCESN-87756056-87547000,OCESN,"","Nice-Ville - Paris-Austerlitz",,2,,,
OCE645679,OCESN,"","Paris-Briançon/Nice",,2,,,
OCE677603,OCESN,"","Paris-Montargis-Nevers",,2,,,
OCE645663,OCESN,"","Paris-Clermont Fd",,2,,,
OCESN-87745497-87746479,OCESN,"","Annemasse - St-Gervais-L-B-Le-Fayet",,2,,,
OCESN-87581009-87651851,OCESN,"","Bordeaux-St-Jean - Cap-Ferret-Andernos",,3,,,
OCE645644,OCESN,"","Paris-Amiens",,2,,,
OCE645648,OCESN,"","Paris-St Quentin",,2,,,
OCE20625,OCESN,"","Caen-Le Mans-Tours",,2,,,
OCE20622,OCESN,"","Paris-Vernon-Rouen",,2,,,
OCE20623,OCESN,"","Paris-Evreux-Serquigny",,2,,,
OCESN-87611483-87611004,OCESN,"","Latour-de-Carol-Enveitg - Toulouse-Matabiau",,2,,,
OCE240745,OCESN,"","Paris-Orléans-Tours",,2,,,
OCE24618,OCESN,"","Toulouse-Hendaye",,2,,,
OCESN-87673004-87611004,OCESN,"","Bayonne - Toulouse-Matabiau",,2,,,
OCESN-87722025-87571000,OCESN,"","Lyon-Perrache - Tours",,2,,,
OCE677601,OCESN,"","Clermont Fd-Nimes",,2,,,
OCE610,OCESN,"","Paris-Vaug. / Dreux / Argentan / Granville",,2,,,
OCESN-87611483-87784686,OCESN,"","Latour-de-Carol-Enveitg - Villefranche-Vernet-l.B",,2,,,
OCE725905,OCESN,"","Paris Bercy - Dijon - Lyon (Multi-Activités)",,2,,,
OCESN-87286005-87343004,OCESN,"","Lille Flandres - Valenciennes",,2,,,
OCESN-87342014-87286005,OCESN,"","Arras - Lille Flandres",,2,,,
OCESN-87286302-87286005,OCESN,"","Hazebrouck - Lille Flandres",,2,,,
OCESN-87313510-87317529,OCESN,"","Beauvais-Gare-SNCF - Le Tréport-Mers-Les-B",,2,,,
OCESN-87413013-87411017,OCESN,"","Le Havre - Rouen-Rive-Droite",,2,,,
