service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11186,1,1,1,1,1,1,0,20170904,20180320
10576,1,1,1,1,1,1,0,20170902,20180320
11189,1,1,1,1,1,1,0,20171211,20180225
11187,1,1,1,1,1,1,0,20180108,20180320
11188,0,1,1,1,1,1,1,20171211,20180225
11182,0,0,0,0,0,0,1,20170918,20180318
11181,0,0,0,0,0,0,1,20170910,20180318
11185,0,0,0,0,0,0,1,20170910,20180318
11184,1,0,0,0,0,0,0,20170911,20180319
11183,0,0,0,0,0,0,1,20170918,20180318
10643,0,0,0,0,0,0,1,20171210,20180318
11053,0,0,0,0,0,1,0,20170902,20171105
11286,0,0,0,0,0,1,0,20170902,20171209
11279,0,0,0,0,0,0,1,20170903,20171203
11280,1,0,0,0,0,0,0,20170925,20171204
11284,1,0,0,0,0,0,0,20171211,20180319
11283,0,0,0,0,0,0,1,20171224,20171231
11282,0,0,0,0,0,0,1,20180101,20180318
11285,0,1,1,1,1,1,0,20171226,20171230
11289,0,1,1,1,1,1,0,20171212,20180320
11287,0,0,0,0,0,0,1,20171225,20180318
11288,1,1,1,1,1,1,0,20171211,20180320
11290,0,0,0,0,0,0,1,20171225,20180318
11266,0,0,0,0,0,1,0,20171216,20180317
10596,1,1,1,1,1,0,0,20180101,20180320
11277,0,1,1,1,1,1,0,20170902,20171209
11276,0,1,1,1,1,1,0,20170902,20171209
11265,1,1,1,1,1,0,0,20170904,20171208
11267,1,1,1,1,1,0,1,20180101,20180320
10991,0,1,1,1,1,0,0,20171226,20171229
11270,0,0,0,0,0,1,0,20180101,20180317
10839,1,1,1,1,1,0,0,20171211,20180320
11278,0,0,0,0,0,1,1,20171210,20180318
11273,0,0,0,0,0,0,1,20171210,20180318
11268,1,1,1,1,1,0,1,20171210,20180320
11264,0,0,0,0,0,1,0,20170918,20171105
10597,1,1,1,1,1,0,0,20170904,20171208
11272,0,0,0,0,0,0,1,20170918,20171203
11274,1,1,1,1,1,1,0,20171211,20180320
11241,1,1,1,1,1,0,1,20171210,20180320
10833,0,0,0,0,0,1,0,20171216,20180317
11275,1,1,1,1,1,0,0,20180101,20180320
11271,1,1,1,1,1,0,1,20171210,20180320
11299,1,1,1,1,1,1,1,20171210,20180320
11298,1,1,1,1,1,0,0,20171211,20180320
11297,1,1,1,1,1,1,0,20171211,20180320
11291,1,1,1,1,1,1,0,20180101,20180320
11292,1,1,1,1,1,1,1,20171210,20180320
11296,1,1,1,1,1,1,1,20171210,20180320
11293,1,1,1,1,1,1,0,20170902,20171209
11295,1,1,1,1,1,1,1,20171210,20180320
11294,1,1,1,1,1,1,0,20170902,20171209
11305,0,1,1,1,1,1,0,20171212,20180320
11306,0,1,1,1,1,1,0,20171212,20180320
11300,1,1,1,1,1,0,1,20171210,20180320
11303,1,1,1,1,1,0,1,20171210,20180320
11304,1,1,1,1,1,1,1,20171210,20180320
11302,1,0,0,0,0,0,0,20170925,20171204
10636,1,1,1,1,1,1,0,20171211,20180320
11301,0,1,1,1,1,0,0,20170905,20171208
11235,0,0,0,0,0,0,1,20170903,20171203
11307,0,0,0,0,0,0,1,20171210,20180318
11190,1,1,1,1,1,1,1,20170902,20171209
10611,1,1,1,1,1,1,1,20171210,20180320
11874,1,1,1,1,1,0,0,20180101,20180320
11873,1,1,1,1,1,0,0,20180108,20180128
11876,1,1,1,1,1,0,0,20170905,20171208
11871,1,1,1,1,1,0,0,20171002,20171208
11878,1,1,1,1,1,0,0,20170904,20171208
