service_id,date,exception_type
11186,20171101,2
11186,20170916,2
11186,20171111,2
11186,20171225,2
11186,20180101,2
10576,20171101,2
10576,20171111,2
10576,20171225,2
10576,20180101,2
11189,20170909,1
11189,20171211,1
11189,20171212,1
11189,20171213,1
11189,20171214,1
11189,20171215,1
11189,20171218,1
11189,20171219,1
11189,20171220,1
11189,20171221,1
11189,20171222,1
11189,20180108,1
11189,20180109,1
11189,20180110,1
11189,20180111,1
11189,20180112,1
11189,20180115,1
11189,20180116,1
11189,20180117,1
11189,20180118,1
11189,20180119,1
11189,20180129,1
11189,20180130,1
11189,20180131,1
11189,20180201,1
11189,20180202,1
11189,20180205,1
11189,20180206,1
11189,20180207,1
11189,20180208,1
11189,20180209,1
11189,20180219,1
11189,20180220,1
11189,20180221,1
11189,20180222,1
11189,20180223,1
11189,20170923,1
11189,20170930,1
11189,20171007,1
11189,20171014,1
11189,20171021,1
11189,20171028,1
11189,20171104,1
11189,20171118,1
11189,20171125,1
11189,20171202,1
11189,20171209,1
11189,20171216,1
11189,20171223,1
11189,20180113,1
11189,20180120,1
11189,20180203,1
11189,20180210,1
11189,20180224,1
11189,20180303,1
11189,20180310,1
11189,20180317,1
11189,20180124,2
11189,20180125,2
11189,20180214,2
11189,20180215,2
11189,20171225,2
11189,20180101,2
11187,20171211,1
11187,20171212,1
11187,20171213,1
11187,20171214,1
11187,20171215,1
11187,20171216,1
11187,20171218,1
11187,20171219,1
11187,20171220,1
11187,20171221,1
11187,20171222,1
11187,20171223,1
11187,20170923,1
11187,20170930,1
11187,20171007,1
11187,20171014,1
11187,20171021,1
11187,20171028,1
11187,20171104,1
11187,20171118,1
11187,20171125,1
11187,20171202,1
11187,20171209,1
11187,20171226,1
11187,20171227,1
11187,20171228,1
11187,20171229,1
11187,20171230,1
11187,20180102,1
11187,20180103,1
11187,20180104,1
11187,20180105,1
11187,20180106,1
11187,20170909,1
11188,20170910,1
11188,20171212,1
11188,20171213,1
11188,20171214,1
11188,20171215,1
11188,20171216,1
11188,20171219,1
11188,20171220,1
11188,20171221,1
11188,20171222,1
11188,20171223,1
11188,20180109,1
11188,20180110,1
11188,20180111,1
11188,20180112,1
11188,20180113,1
11188,20180116,1
11188,20180117,1
11188,20180118,1
11188,20180119,1
11188,20180120,1
11188,20180130,1
11188,20180131,1
11188,20180201,1
11188,20180202,1
11188,20180203,1
11188,20180206,1
11188,20180207,1
11188,20180208,1
11188,20180209,1
11188,20180210,1
11188,20180220,1
11188,20180221,1
11188,20180222,1
11188,20180223,1
11188,20180224,1
11188,20170924,1
11188,20171001,1
11188,20171008,1
11188,20171015,1
11188,20171022,1
11188,20171029,1
11188,20171105,1
11188,20171119,1
11188,20171126,1
11188,20171203,1
11188,20171210,1
11188,20171217,1
11188,20171224,1
11188,20180114,1
11188,20180121,1
11188,20180204,1
11188,20180211,1
11188,20180225,1
11188,20180304,1
11188,20180311,1
11188,20180318,1
11188,20180125,2
11188,20180126,2
11188,20180215,2
11188,20180216,2
11188,20171226,2
11188,20180102,2
11182,20170910,1
11182,20171111,1
11182,20171101,1
11182,20171225,1
11182,20180101,1
11181,20171111,1
11181,20171101,1
11181,20171225,1
11181,20180101,1
11185,20171111,1
11185,20171225,1
11185,20180101,1
11184,20171112,1
11184,20171226,1
11184,20180102,1
11183,20170910,1
11183,20171225,1
11183,20180101,1
10643,20171225,1
10643,20180101,1
10572,20180101,1
11053,20171118,1
11053,20171125,1
11053,20171202,1
11053,20171209,1
10687,20170916,1
10688,20170917,1
11281,20170918,1
11280,20171112,1
11280,20171102,1
11280,20170904,1
11280,20170911,1
10844,20170915,1
11282,20171210,1
11282,20171217,1
11287,20171226,1
11287,20171227,1
11287,20171228,1
11287,20171229,1
11287,20171230,1
11287,20171210,1
11287,20171217,1
11287,20171231,2
11290,20171226,1
11290,20171227,1
11290,20171228,1
11290,20171229,1
11290,20171210,1
11290,20171217,1
11290,20171231,2
11266,20171226,1
11266,20171227,1
11266,20171228,1
11266,20171229,1
11266,20171230,2
11269,20171230,1
10596,20171211,1
10596,20171212,1
10596,20171213,1
10596,20171214,1
10596,20171215,1
10596,20171218,1
10596,20171219,1
10596,20171220,1
10596,20171221,1
10596,20171222,1
10596,20180101,2
11277,20171101,2
11277,20171111,2
11277,20170915,2
11277,20170916,2
11276,20171101,2
11276,20170916,2
11276,20171111,2
11265,20171101,2
11265,20170915,2
11267,20171210,1
11267,20171211,1
11267,20171212,1
11267,20171213,1
11267,20171214,1
11267,20171215,1
11267,20171217,1
11267,20171218,1
11267,20171219,1
11267,20171220,1
11267,20171221,1
11267,20171222,1
11267,20171224,2
11270,20171216,1
11270,20171223,1
10839,20171225,2
10839,20180101,2
11278,20180101,1
11278,20171225,1
11278,20171230,2
11273,20171225,1
11273,20171226,1
11273,20171227,1
11273,20171228,1
11273,20171229,1
11273,20180101,1
11268,20171230,1
11268,20171225,2
11268,20171226,2
11268,20171227,2
11268,20171228,2
11268,20171229,2
11268,20171231,2
11268,20171224,2
11264,20170902,1
11264,20170909,1
11264,20171118,1
11264,20171125,1
11264,20171202,1
11264,20171209,1
10597,20171101,2
11272,20171111,1
11272,20171101,1
11272,20170903,1
11272,20170910,1
11274,20180101,2
11274,20171225,2
11274,20171230,2
11275,20171211,1
11275,20171212,1
11275,20171213,1
11275,20171214,1
11275,20171215,1
11275,20171218,1
11275,20171219,1
11275,20171220,1
11275,20171221,1
11275,20171222,1
11275,20180101,2
11275,20180314,2
11271,20180314,2
11299,20180314,2
11298,20180314,2
11298,20171225,2
11298,20180101,2
11297,20180101,2
11297,20180314,2
11297,20171225,2
11297,20171230,2
11291,20171211,1
11291,20171212,1
11291,20171213,1
11291,20171214,1
11291,20171215,1
11291,20171216,1
11291,20171218,1
11291,20171219,1
11291,20171220,1
11291,20171221,1
11291,20171222,1
11291,20171223,1
11291,20180101,2
11292,20171226,2
11292,20171227,2
11292,20171228,2
11292,20171229,2
11292,20171230,2
11296,20171225,2
11296,20171226,2
11296,20171227,2
11296,20171228,2
11296,20171229,2
11296,20171230,2
11293,20171101,2
11293,20170915,2
11293,20171111,2
11295,20171230,2
11294,20171101,2
11294,20171111,2
11305,20171226,2
11305,20180102,2
11306,20171224,1
11306,20171231,1
11306,20171226,2
11306,20180102,2
11300,20171226,2
11300,20171227,2
11300,20171228,2
11300,20171229,2
11303,20171230,1
11303,20171226,2
11303,20171227,2
11303,20171228,2
11303,20171229,2
11304,20180314,2
11304,20171230,2
11302,20170904,1
11302,20170911,1
10636,20171225,2
10636,20180101,2
11301,20170918,1
11301,20171101,2
11301,20170915,2
11235,20171111,1
11235,20171101,1
11307,20171225,1
11307,20171230,1
11307,20180101,1
10927,20170902,1
11923,20170902,1
11923,20171226,1
11923,20171227,1
11923,20171228,1
11923,20171229,1
11923,20171230,1
11874,20171211,1
11874,20171212,1
11874,20171213,1
11874,20171214,1
11874,20171215,1
11874,20171218,1
11874,20171219,1
11874,20171220,1
11874,20171221,1
11874,20171222,1
11874,20180101,2
11874,20180102,2
11874,20180103,2
11874,20180104,2
11874,20180129,2
11874,20180130,2
11874,20180131,2
11874,20180201,2
11874,20180226,2
11874,20180227,2
11874,20180228,2
11874,20180301,2
11875,20180129,1
11875,20180130,1
11875,20180131,1
11875,20180201,1
11875,20180102,1
11875,20180103,1
11875,20180104,1
11875,20180226,1
11875,20180227,1
11875,20180228,1
11875,20180301,1
11872,20180129,1
11872,20180130,1
11872,20180131,1
11872,20180201,1
11872,20180202,1
11872,20180102,1
11872,20180103,1
11872,20180104,1
11872,20180105,1
11872,20180226,1
11872,20180227,1
11872,20180228,1
11872,20180301,1
11872,20180302,1
11873,20171211,1
11873,20171212,1
11873,20171213,1
11873,20171214,1
11873,20171215,1
11873,20171218,1
11873,20171219,1
11873,20171220,1
11873,20171221,1
11873,20171222,1
11873,20180205,1
11873,20180206,1
11873,20180207,1
11873,20180208,1
11873,20180209,1
11873,20180212,1
11873,20180213,1
11873,20180214,1
11873,20180215,1
11873,20180216,1
