service_id,date,exception_type
11186,2017/11/01,2
11186,2017/09/16,2
11186,2017/11/11,2
11186,2017/12/25,2
11186,2018/01/01,2
10576,2017/11/01,2
10576,2017/11/11,2
10576,2017/12/25,2
10576,2018/01/01,2
11189,2017/09/09,1
11189,2017/12/11,1
11189,2017/12/12,1
11189,2017/12/13,1
11189,2017/12/14,1
11189,2017/12/15,1
11189,2017/12/18,1
11189,2017/12/19,1
11189,2017/12/20,1
11189,2017/12/21,1
11189,2017/12/22,1
11189,2018/01/08,1
11189,2018/01/09,1
11189,2018/01/10,1
11189,2018/01/11,1
11189,2018/01/12,1
11189,2018/01/15,1
11189,2018/01/16,1
11189,2018/01/17,1
11189,2018/01/18,1
11189,2018/01/19,1
11189,2018/01/29,1
11189,2018/01/30,1
11189,2018/01/31,1
11189,2018/02/01,1
11189,2018/02/02,1
11189,2018/02/05,1
11189,2018/02/06,1
11189,2018/02/07,1
11189,2018/02/08,1
11189,2018/02/09,1
11189,2018/02/19,1
11189,2018/02/20,1
11189,2018/02/21,1
11189,2018/02/22,1
11189,2018/02/23,1
11189,2017/09/23,1
11189,2017/09/30,1
11189,2017/10/07,1
11189,2017/10/14,1
11189,2017/10/21,1
11189,2017/10/28,1
11189,2017/11/04,1
11189,2017/11/18,1
11189,2017/11/25,1
11189,2017/12/02,1
11189,2017/12/09,1
11189,2017/12/16,1
11189,2017/12/23,1
11189,2018/01/13,1
11189,2018/01/20,1
11189,2018/02/03,1
11189,2018/02/10,1
11189,2018/02/24,1
11189,2018/03/03,1
11189,2018/03/10,1
11189,2018/03/17,1
11189,2018/01/24,2
11189,2018/01/25,2
11189,2018/02/14,2
11189,2018/02/15,2
11189,2017/12/25,2
11189,2018/01/01,2
11187,2017/12/11,1
11187,2017/12/12,1
11187,2017/12/13,1
11187,2017/12/14,1
11187,2017/12/15,1
11187,2017/12/16,1
11187,2017/12/18,1
11187,2017/12/19,1
11187,2017/12/20,1
11187,2017/12/21,1
11187,2017/12/22,1
11187,2017/12/23,1
11187,2017/09/23,1
11187,2017/09/30,1
11187,2017/10/07,1
11187,2017/10/14,1
11187,2017/10/21,1
11187,2017/10/28,1
11187,2017/11/04,1
11187,2017/11/18,1
11187,2017/11/25,1
11187,2017/12/02,1
11187,2017/12/09,1
11187,2017/12/26,1
11187,2017/12/27,1
11187,2017/12/28,1
11187,2017/12/29,1
11187,2017/12/30,1
11187,2018/01/02,1
11187,2018/01/03,1
11187,2018/01/04,1
11187,2018/01/05,1
11187,2018/01/06,1
11187,2017/09/09,1
11188,2017/09/10,1
11188,2017/12/12,1
11188,2017/12/13,1
11188,2017/12/14,1
11188,2017/12/15,1
11188,2017/12/16,1
11188,2017/12/19,1
11188,2017/12/20,1
11188,2017/12/21,1
11188,2017/12/22,1
11188,2017/12/23,1
11188,2018/01/09,1
11188,2018/01/10,1
11188,2018/01/11,1
11188,2018/01/12,1
11188,2018/01/13,1
11188,2018/01/16,1
11188,2018/01/17,1
11188,2018/01/18,1
11188,2018/01/19,1
11188,2018/01/20,1
11188,2018/01/30,1
11188,2018/01/31,1
11188,2018/02/01,1
11188,2018/02/02,1
11188,2018/02/03,1
11188,2018/02/06,1
11188,2018/02/07,1
11188,2018/02/08,1
11188,2018/02/09,1
11188,2018/02/10,1
11188,2018/02/20,1
11188,2018/02/21,1
11188,2018/02/22,1
11188,2018/02/23,1
11188,2018/02/24,1
11188,2017/09/24,1
11188,2017/10/01,1
11188,2017/10/08,1
11188,2017/10/15,1
11188,2017/10/22,1
11188,2017/10/29,1
11188,2017/11/05,1
11188,2017/11/19,1
11188,2017/11/26,1
11188,2017/12/03,1
11188,2017/12/10,1
11188,2017/12/17,1
11188,2017/12/24,1
11188,2018/01/14,1
11188,2018/01/21,1
11188,2018/02/04,1
11188,2018/02/11,1
11188,2018/02/25,1
11188,2018/03/04,1
11188,2018/03/11,1
11188,2018/03/18,1
11188,2018/01/25,2
11188,2018/01/26,2
11188,2018/02/15,2
11188,2018/02/16,2
11188,2017/12/26,2
11188,2018/01/02,2
11182,2017/09/10,1
11182,2017/11/11,1
11182,2017/11/01,1
11182,2017/12/25,1
11182,2018/01/01,1
11181,2017/11/11,1
11181,2017/11/01,1
11181,2017/12/25,1
11181,2018/01/01,1
11185,2017/11/11,1
11185,2017/12/25,1
11185,2018/01/01,1
11184,2017/11/12,1
11184,2017/12/26,1
11184,2018/01/02,1
11183,2017/09/10,1
11183,2017/12/25,1
11183,2018/01/01,1
10643,2017/12/25,1
10643,2018/01/01,1
10572,2018/01/01,1
11053,2017/11/18,1
11053,2017/11/25,1
11053,2017/12/02,1
11053,2017/12/09,1
10687,2017/09/16,1
10688,2017/09/17,1
11281,2017/09/18,1
11280,2017/11/12,1
11280,2017/11/02,1
11280,2017/09/04,1
11280,2017/09/11,1
10844,2017/09/15,1
11282,2017/12/10,1
11282,2017/12/17,1
11287,2017/12/26,1
11287,2017/12/27,1
11287,2017/12/28,1
11287,2017/12/29,1
11287,2017/12/30,1
11287,2017/12/10,1
11287,2017/12/17,1
11287,2017/12/31,2
11290,2017/12/26,1
11290,2017/12/27,1
11290,2017/12/28,1
11290,2017/12/29,1
11290,2017/12/10,1
11290,2017/12/17,1
11290,2017/12/31,2
11266,2017/12/26,1
11266,2017/12/27,1
11266,2017/12/28,1
11266,2017/12/29,1
11266,2017/12/30,2
11269,2017/12/30,1
10596,2017/12/11,1
10596,2017/12/12,1
10596,2017/12/13,1
10596,2017/12/14,1
10596,2017/12/15,1
10596,2017/12/18,1
10596,2017/12/19,1
10596,2017/12/20,1
10596,2017/12/21,1
10596,2017/12/22,1
10596,2018/01/01,2
11277,2017/11/01,2
11277,2017/11/11,2
11277,2017/09/15,2
11277,2017/09/16,2
11276,2017/11/01,2
11276,2017/09/16,2
11276,2017/11/11,2
11265,2017/11/01,2
11265,2017/09/15,2
11267,2017/12/10,1
11267,2017/12/11,1
11267,2017/12/12,1
11267,2017/12/13,1
11267,2017/12/14,1
11267,2017/12/15,1
11267,2017/12/17,1
11267,2017/12/18,1
11267,2017/12/19,1
11267,2017/12/20,1
11267,2017/12/21,1
11267,2017/12/22,1
11267,2017/12/24,2
11270,2017/12/16,1
11270,2017/12/23,1
10839,2017/12/25,2
10839,2018/01/01,2
11278,2018/01/01,1
11278,2017/12/25,1
11278,2017/12/30,2
11273,2017/12/25,1
11273,2017/12/26,1
11273,2017/12/27,1
11273,2017/12/28,1
11273,2017/12/29,1
11273,2018/01/01,1
11268,2017/12/30,1
11268,2017/12/25,2
11268,2017/12/26,2
11268,2017/12/27,2
11268,2017/12/28,2
11268,2017/12/29,2
11268,2017/12/31,2
11268,2017/12/24,2
11264,2017/09/02,1
11264,2017/09/09,1
11264,2017/11/18,1
11264,2017/11/25,1
11264,2017/12/02,1
11264,2017/12/09,1
10597,2017/11/01,2
11272,2017/11/11,1
11272,2017/11/01,1
11272,2017/09/03,1
11272,2017/09/10,1
11274,2018/01/01,2
11274,2017/12/25,2
11274,2017/12/30,2
11275,2017/12/11,1
11275,2017/12/12,1
11275,2017/12/13,1
11275,2017/12/14,1
11275,2017/12/15,1
11275,2017/12/18,1
11275,2017/12/19,1
11275,2017/12/20,1
11275,2017/12/21,1
11275,2017/12/22,1
11275,2018/01/01,2
11275,2018/03/14,2
11271,2018/03/14,2
11299,2018/03/14,2
11298,2018/03/14,2
11298,2017/12/25,2
11298,2018/01/01,2
11297,2018/01/01,2
11297,2018/03/14,2
11297,2017/12/25,2
11297,2017/12/30,2
11291,2017/12/11,1
11291,2017/12/12,1
11291,2017/12/13,1
11291,2017/12/14,1
11291,2017/12/15,1
11291,2017/12/16,1
11291,2017/12/18,1
11291,2017/12/19,1
11291,2017/12/20,1
11291,2017/12/21,1
11291,2017/12/22,1
11291,2017/12/23,1
11291,2018/01/01,2
11292,2017/12/26,2
11292,2017/12/27,2
11292,2017/12/28,2
11292,2017/12/29,2
11292,2017/12/30,2
11296,2017/12/25,2
11296,2017/12/26,2
11296,2017/12/27,2
