from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:DUA76:334,StopPoint:DUA8732832,2,0
StopPoint:DUA76:334,StopPoint:DUA76:333,2,252
StopPoint:DUA8732832,StopPoint:DUA76:334,2,252
StopPoint:DUA8732832,StopPoint:DUA76:333,2,252
StopPoint:DUA76:333,StopPoint:DUA76:334,2,252
StopPoint:DUA76:333,StopPoint:DUA8732832,2,0
StopPoint:DUA76:544,StopPoint:DUA76:543,2,252
StopPoint:DUA76:544,StopPoint:DUA8739305,2,336
StopPoint:DUA76:543,StopPoint:DUA76:544,2,252
StopPoint:DUA76:543,StopPoint:DUA8739305,2,336
StopPoint:DUA8739305,StopPoint:DUA76:544,2,336
StopPoint:DUA8739305,StopPoint:DUA76:543,2,336
StopPoint:DUA8754700,StopPoint:DUA8754702,2,252
StopPoint:DUA8754700,StopPoint:DUA76:756,2,336
StopPoint:DUA8754700,StopPoint:DUA76:755,2,336
StopPoint:DUA8754702,StopPoint:DUA8754700,2,252
StopPoint:DUA8754702,StopPoint:DUA76:756,2,273
StopPoint:DUA8754702,StopPoint:DUA76:755,2,273
StopPoint:DUA76:756,StopPoint:DUA8754700,2,336
StopPoint:DUA76:756,StopPoint:DUA8754702,2,275
StopPoint:DUA76:756,StopPoint:DUA76:755,2,252
StopPoint:DUA76:755,StopPoint:DUA8754700,2,336
StopPoint:DUA76:755,StopPoint:DUA8754702,2,275
StopPoint:DUA76:755,StopPoint:DUA76:756,2,252
StopPoint:DUA76:5,StopPoint:DUA76:6,2,252
StopPoint:DUA76:5,StopPoint:DUA8711300,2,336
StopPoint:DUA76:5,StopPoint:DUA76:147,2,672
StopPoint:DUA76:5,StopPoint:DUA8727102,2,672
StopPoint:DUA76:5,StopPoint:DUA8727103,2,672
StopPoint:DUA76:5,StopPoint:DUA8727100,2,672
StopPoint:DUA76:6,StopPoint:DUA76:5,2,252
StopPoint:DUA76:6,StopPoint:DUA8711300,2,336
StopPoint:DUA76:6,StopPoint:DUA76:147,2,672
StopPoint:DUA76:6,StopPoint:DUA8727102,2,672
StopPoint:DUA76:6,StopPoint:DUA8727103,2,672
StopPoint:DUA76:6,StopPoint:DUA8727100,2,672
StopPoint:DUA8711300,StopPoint:DUA76:5,2,336
StopPoint:DUA8711300,StopPoint:DUA76:6,2,336
StopPoint:DUA8711300,StopPoint:DUA76:147,2,504
StopPoint:DUA8711300,StopPoint:DUA8727102,2,504
StopPoint:DUA8711300,StopPoint:DUA8727103,2,504
StopPoint:DUA8711300,StopPoint:DUA8727100,2,504
StopPoint:DUA76:147,StopPoint:DUA76:5,2,408
StopPoint:DUA76:147,StopPoint:DUA76:6,2,408
StopPoint:DUA76:147,StopPoint:DUA8711300,2,460
StopPoint:DUA76:147,StopPoint:DUA8727102,2,263
StopPoint:DUA76:147,StopPoint:DUA8727103,2,336
StopPoint:DUA76:147,StopPoint:DUA8727100,2,269
StopPoint:DUA76:147,StopPoint:DUA8728187,2,550
StopPoint:DUA8727102,StopPoint:DUA76:5,2,672
StopPoint:DUA8727102,StopPoint:DUA76:6,2,672
StopPoint:DUA8727102,StopPoint:DUA8711300,2,672
StopPoint:DUA8727102,StopPoint:DUA76:147,2,266
StopPoint:DUA8727102,StopPoint:DUA8727103,2,252
StopPoint:DUA8727102,StopPoint:DUA8727100,2,252
StopPoint:DUA8727102,StopPoint:DUA8728187,2,356
StopPoint:DUA8727103,StopPoint:DUA76:5,2,672
StopPoint:DUA8727103,StopPoint:DUA76:6,2,672
StopPoint:DUA8727103,StopPoint:DUA8711300,2,672
StopPoint:DUA8727103,StopPoint:DUA76:147,2,336
StopPoint:DUA8727103,StopPoint:DUA8727102,2,252
StopPoint:DUA8727103,StopPoint:DUA8727100,2,252
StopPoint:DUA8727103,StopPoint:DUA8728187,2,382
StopPoint:DUA8727100,StopPoint:DUA76:5,2,672
StopPoint:DUA8727100,StopPoint:DUA76:6,2,672
StopPoint:DUA8727100,StopPoint:DUA8711300,2,672
StopPoint:DUA8727100,StopPoint:DUA76:147,2,264
StopPoint:DUA8727100,StopPoint:DUA8727102,2,252
StopPoint:DUA8727100,StopPoint:DUA8727103,2,252
StopPoint:DUA8727100,StopPoint:DUA8728187,2,386
StopPoint:DUA8728189,StopPoint:DUA8738400,2,402
StopPoint:DUA76:540,StopPoint:DUA76:539,2,252
StopPoint:DUA76:540,StopPoint:DUA8739303,2,336
StopPoint:DUA76:539,StopPoint:DUA76:540,2,252
StopPoint:DUA76:539,StopPoint:DUA8739303,2,336
StopPoint:DUA8739303,StopPoint:DUA76:540,2,336
StopPoint:DUA8739303,StopPoint:DUA76:539,2,336
StopPoint:DUA76:546,StopPoint:DUA76:545,2,252
StopPoint:DUA76:546,StopPoint:DUA8739306,2,336
StopPoint:DUA76:545,StopPoint:DUA76:546,2,252
StopPoint:DUA76:545,StopPoint:DUA8739306,2,336
StopPoint:DUA8739306,StopPoint:DUA76:546,2,336
StopPoint:DUA8739306,StopPoint:DUA76:545,2,336
StopPoint:DUA8728187,StopPoint:DUA76:147,2,420
StopPoint:DUA8728187,StopPoint:DUA8727102,2,252
StopPoint:DUA8728187,StopPoint:DUA8727103,2,252
StopPoint:DUA8728187,StopPoint:DUA8727100,2,252
StopPoint:DUA76:912,StopPoint:DUA76:911,2,252
StopPoint:DUA76:912,StopPoint:DUA8768603,2,326
StopPoint:DUA76:912,StopPoint:DUA8768600,2,336
StopPoint:DUA76:912,StopPoint:DUA8775858,2,278
StopPoint:DUA76:911,StopPoint:DUA76:912,2,252
StopPoint:DUA76:911,StopPoint:DUA8768603,2,326
StopPoint:DUA76:911,StopPoint:DUA8768600,2,336
StopPoint:DUA76:911,StopPoint:DUA8775858,2,278
StopPoint:DUA8768603,StopPoint:DUA76:912,2,326
StopPoint:DUA8768603,StopPoint:DUA76:911,2,326
StopPoint:DUA8768603,StopPoint:DUA8768600,2,252
StopPoint:DUA8768603,StopPoint:DUA8775858,2,252
StopPoint:DUA8768600,StopPoint:DUA76:912,2,336
StopPoint:DUA8768600,StopPoint:DUA76:911,2,336
StopPoint:DUA8768600,StopPoint:DUA8768603,2,252
StopPoint:DUA8768600,StopPoint:DUA8775858,2,252
StopPoint:DUA8775858,StopPoint:DUA76:912,2,278
StopPoint:DUA8775858,StopPoint:DUA76:911,2,278
