route_id,service_id,trip_id,trip_headsign,direction_id,block_id
DUA800850009,11186,DUASN110638F01001-1_336738,"10638",0,
DUA800850009,11186,DUASN110716F01001-1_336739,"10716",0,
DUA800850009,11186,DUASN110730F01001-1_336740,"10730",0,
DUA800850009,11186,DUASN110636F01001-1_336741,"10636",0,
DUA800850009,11186,DUASN110634F01001-1_336742,"10634",0,
DUA800850009,11186,DUASN110640F01001-1_336743,"10640",0,
DUA800850009,11186,DUASN110726F01001-1_336744,"10726",0,
DUA800850009,11186,DUASN110720F01001-1_336745,"10720",0,
DUA800850009,11186,DUASN110718F01001-1_336746,"10718",0,
DUA800850009,11186,DUASN110728F01001-1_336747,"10728",0,
DUA800850009,11186,DUASN110734F01001-1_336748,"10734",0,
DUA800850009,11186,DUASN110732F01001-1_336749,"10732",0,
DUA800850009,11186,DUASN110642F01001-1_336750,"10642",0,
DUA800850009,11186,DUASN110818F01001-1_336751,"10818",0,
DUA800850009,10576,DUASN110812F01001-1_336752,"10812",0,
DUA800850009,11186,DUASN110810F01001-1_336753,"10810",0,
DUA800850009,11186,DUASN110820F01001-1_336754,"10820",0,
DUA800850009,11186,DUASN110826F01001-1_336755,"10826",0,
DUA800850009,11186,DUASN110824F01001-1_336756,"10824",0,
DUA800850009,11186,DUASN110644F01001-1_336757,"10644",0,
DUA800850009,11186,DUASN110714F01001-1_336758,"10714",0,
DUA800850009,11186,DUASN110712F04001-1_336759,"10712",0,
DUA800850009,11186,DUASN110816F01001-1_336760,"10816",0,
DUA800850009,11186,DUASN110814F01001-1_336761,"10814",0,
DUA800850009,11186,DUASN110710F01001-1_336762,"10710",0,
DUA800850009,11186,DUASN110226F01001-1_336763,"10226",0,
DUA800850009,11186,DUASN110220F01001-1_336764,"10220",0,
DUA800850009,11186,DUASN110214F01001-1_336765,"10214",0,
DUA800850009,11186,DUASN110224F01001-1_336766,"10224",0,
DUA800850009,11186,DUASN110222F01001-1_336767,"10222",0,
DUA800850009,11186,DUASN110228F01001-1_336768,"10228",0,
DUA800850009,11186,DUASN110112F01001-1_336769,"10112",0,
DUA800850009,11186,DUASN110110F01001-1_336770,"10110",0,
DUA800850009,11186,DUASN110116F01001-1_336771,"10116",0,
DUA800850009,11186,DUASN110212F01001-1_336772,"10212",0,
DUA800850009,11186,DUASN110218F01001-1_336773,"10218",0,
DUA800850009,11186,DUASN110216F01001-1_336774,"10216",0,
DUA800850009,11186,DUASN110210F01001-1_336775,"10210",0,
DUA800850009,11189,DUASN110150F01001-1_336776,"10150",0,
DUA800850009,11187,DUASN110148F01001-1_336777,"10148",0,
DUA800850009,11188,DUASN110154F01001-1_336778,"10154",0,
DUA800850009,11186,DUASN110724F01001-1_336779,"10724",0,
DUA800850009,11186,DUASN110722F01001-1_336780,"10722",0,
DUA800850009,11186,DUASN110432F01001-1_336781,"10432",0,
DUA800850009,11186,DUASN110138F01001-1_336782,"10138",0,
DUA800850009,11186,DUASN110144F01001-1_336783,"10144",0,
DUA800850009,11186,DUASN110142F01001-1_336784,"10142",0,
DUA800850009,11188,DUASN110152F01001-1_336785,"10152",0,
DUA800850009,11187,DUASN110146F01001-1_336786,"10146",0,
DUA800850009,11186,DUASN110140F01001-1_336787,"10140",0,
DUA800850009,11186,DUASN110614F01001-1_336788,"10614",0,
DUA800850009,11186,DUASN110620F01001-1_336789,"10620",0,
DUA800850009,11186,DUASN110618F01001-1_336790,"10618",0,
DUA800850009,11186,DUASN110628F01001-1_336791,"10628",0,
DUA800850009,11186,DUASN110622F01001-1_336792,"10622",0,
DUA800850009,11186,DUASN110616F01001-1_336793,"10616",0,
DUA800850009,11189,DUASN110448F01001-1_336794,"10448",0,
DUA800850009,11186,DUASN110442F01001-1_336795,"10442",0,
DUA800850009,11186,DUASN110436F01001-1_336796,"10436",0,
DUA800850009,11187,DUASN110446F01001-1_336797,"10446",0,
DUA800850009,11186,DUASN110444F01001-1_336798,"10444",0,
DUA800850009,11189,DUASN110450F01001-1_336799,"10450",0,
DUA800850009,11186,DUASN110630F01001-1_336800,"10630",0,
DUA800850009,11186,DUASN110542F01001-1_336801,"10542",0,
DUA800850009,11186,DUASN110536F01001-1_336802,"10536",0,
DUA800850009,11186,DUASN110530F01001-1_336803,"10530",0,
DUA800850009,11186,DUASN110540F01001-1_336804,"10540",0,
DUA800850009,11186,DUASN110538F01001-1_336805,"10538",0,
DUA800850009,11186,DUASN110544F01001-1_336806,"10544",0,
DUA800850009,11187,DUASN110546F01001-1_336807,"10546",0,
DUA800850009,11186,DUASN110626F01001-1_336808,"10626",0,
DUA800850009,11186,DUASN110624F01001-1_336809,"10624",0,
DUA800850009,11186,DUASN110528F01001-1_336810,"10528",0,
DUA800850009,11186,DUASN110534F01001-1_336811,"10534",0,
DUA800850009,11186,DUASN110532F01001-1_336812,"10532",0,
DUA800850009,11189,DUASN110752F01001-1_336813,"10752",0,
DUA800850009,11189,DUASN110750F01001-1_336814,"10750",0,
DUA800850009,11186,DUASN110744F01001-1_336815,"10744",0,
DUA800850009,11186,DUASN110632F01001-1_336816,"10632",0,
DUA800850009,11187,DUASN110748F01001-1_336817,"10748",0,
DUA800850009,11186,DUASN110746F01001-1_336818,"10746",0,
DUA800850009,11186,DUASN110740F01001-1_336819,"10740",0,
DUA800850009,11188,DUASN110754F01001-1_336820,"10754",0,
DUA800850009,11186,DUASN110822F01001-1_336821,"10822",0,
DUA800850009,11186,DUASN110738F01001-1_336822,"10738",0,
DUA800850009,11186,DUASN110736F01001-1_336823,"10736",0,
DUA800850009,11186,DUASN110742F01001-1_336824,"10742",0,
DUA800850009,11186,DUASN110514F01001-1_336825,"10514",0,
DUA800850009,11188,DUASN110452F01001-1_336826,"10452",0,
DUA800850009,11186,DUASN110522F01001-1_336827,"10522",0,
DUA800850009,11186,DUASN110520F01001-1_336828,"10520",0,
DUA800850009,11186,DUASN110434F01001-1_336829,"10434",0,
DUA800850009,11186,DUASN110440F01001-1_336830,"10440",0,
DUA800850009,11186,DUASN110438F01001-1_336831,"10438",0,
DUA800850009,11186,DUASN110512F01001-1_336832,"10512",0,
DUA800850009,11186,DUASN110510F01001-1_336833,"10510",0,
DUA800850009,11186,DUASN110516F01001-1_336834,"10516",0,
DUA800850009,11186,DUASN110526F01001-1_336835,"10526",0,
DUA800850009,11186,DUASN110524F01001-1_336836,"10524",0,
DUA800850009,11186,DUASN110518F01001-1_336837,"10518",0,
DUA800850009,11186,DUASN110940F01001-1_336838,"10940",0,
DUA800850009,11182,DUASN111610F01001-1_336839,"11610",0,
DUA800850009,11181,DUASN111612F01001-1_336840,"11612",0,
DUA800850009,11186,DUASN110938F01001-1_336841,"10938",0,
DUA800850009,11186,DUASN110932F01001-1_336842,"10932",0,
DUA800850009,11186,DUASN110934F01001-1_336843,"10934",0,
